time,video_duration,like,dislike,subscriber,views,url,video_id
2022-07-14,29M49S,1234,0,2910000,154614,https://www.youtube.com/watch?v=ZYiw9BrO8J8,ZYiw9BrO8J8
2018-05-05,13M51S,1193,0,596000,100136,https://www.youtube.com/watch?v=4qpWzUeV4Rc,4qpWzUeV4Rc
2022-08-09,1M48S,20,0,1150000,7243,https://www.youtube.com/watch?v=00sgA1rqouI,00sgA1rqouI
2022-08-02,16M51S,6187,0,165000,279775,https://www.youtube.com/watch?v=HcGkDrDAm08,HcGkDrDAm08
2020-11-13,9M47S,1235,0,128000,22709,https://www.youtube.com/watch?v=GeOJXmhGPcc,GeOJXmhGPcc
2020-12-13,8M38S,2155,0,2250,165723,https://www.youtube.com/watch?v=Tdef7RLS6G8,Tdef7RLS6G8
2023-02-09,2M5S,2,0,157000,540,https://www.youtube.com/watch?v=t1yPg8nfFMg,t1yPg8nfFMg
2023-02-18,1M49S,44,0,1150000,10599,https://www.youtube.com/watch?v=4CFFqrujxxQ,4CFFqrujxxQ
2022-01-02,15M2S,101,0,184000,4596,https://www.youtube.com/watch?v=RsQOqyp_cRI,RsQOqyp_cRI
2021-05-03,6M39S,514,0,200000,21760,https://www.youtube.com/watch?v=PvtIULOsevg,PvtIULOsevg
2022-07-14,29M49S,1234,0,2910000,154614,https://www.youtube.com/watch?v=ZYiw9BrO8J8,ZYiw9BrO8J8
2018-05-05,13M51S,1193,0,596000,100136,https://www.youtube.com/watch?v=4qpWzUeV4Rc,4qpWzUeV4Rc
2022-08-09,1M48S,20,0,1150000,7243,https://www.youtube.com/watch?v=00sgA1rqouI,00sgA1rqouI
2022-08-02,16M51S,6187,0,165000,279775,https://www.youtube.com/watch?v=HcGkDrDAm08,HcGkDrDAm08
2020-11-13,9M47S,1235,0,128000,22709,https://www.youtube.com/watch?v=GeOJXmhGPcc,GeOJXmhGPcc
2020-12-13,8M38S,2155,0,2250,165723,https://www.youtube.com/watch?v=Tdef7RLS6G8,Tdef7RLS6G8
2023-02-09,2M5S,2,0,157000,540,https://www.youtube.com/watch?v=t1yPg8nfFMg,t1yPg8nfFMg
2023-02-18,1M49S,44,0,1150000,10599,https://www.youtube.com/watch?v=4CFFqrujxxQ,4CFFqrujxxQ
2022-01-02,15M2S,101,0,184000,4596,https://www.youtube.com/watch?v=RsQOqyp_cRI,RsQOqyp_cRI
2021-05-03,6M39S,514,0,200000,21760,https://www.youtube.com/watch?v=PvtIULOsevg,PvtIULOsevg
